Player,Pos,Salary(2021-2022),Salary(2022-2023),Salary(2023-2024)
Joel Embiid,C,31579390,33616770,47607350
Giannis Antetokounmpo,PF,39344900,42492492,45640084
Luka Doncic,PG,10174391,37096500,40064220
DeMar DeRozan,SF,26000000,27300000,28600000
Donovan Mitchell,SG,28103500,30913750,33162030
Nikola Jokic,C,31044906,33047803,47607350
Kevin Durant,PF,42018900,44119845,47649433
Shai Gilgeous-Alexander,PG,5495532,30913750,33386850
Jaylen Brown,SF,26758928,29776785,31830357
Anthony Edwards,SG,10245480,10733400,13534817
Anthony Davis,C,35361360,37980720,40600080
Jayson Tatum,PF,28103500,30351780,32600060
Jalen Brunson,PG,1802057,27733332,26346666
Jaylen Brown,SF,26758928,29776785,31830357
Terry Rozier,SG,17905263,21486316,23205221
